param,value,unit,editable
cap_rated,1000.0,kWh,true
power_rated,0.5,MW,true
eta_roundtrip,0.87,-,true
eta_charge,0.92,-,true
soc_min,0.10,-,true
soc_max,0.90,-,true
design_life,10,年,true
r_degrade,0.025,-,true
degrade_enabled,0,-,true
cycle_life,5000,次,true
cycle_enabled,0,-,true
unit_cost,0.9,元/Wh,true
r_om,0.01,-,true
r_ess_share,0.20,-,true
