date,hour,q_dayahead_kwh
2026-03-15,0,410
2026-03-15,1,560
2026-03-15,2,575
2026-03-15,3,595
2026-03-15,4,590
2026-03-15,5,720
2026-03-15,6,430
2026-03-15,7,310
2026-03-15,8,310
2026-03-15,9,210
2026-03-15,10,240
2026-03-15,11,315
2026-03-15,12,580
2026-03-15,13,360
2026-03-15,14,315
2026-03-15,15,345
2026-03-15,16,240
2026-03-15,17,280
2026-03-15,18,355
2026-03-15,19,355
2026-03-15,20,380
2026-03-15,21,375
2026-03-15,22,350
2026-03-15,23,305
