param,value,unit,editable
cap_rated,5000,kWh,true
c_rate,0.5,-,true
eta_roundtrip,0.85,-,true
soc_min,0.10,-,true
soc_max,0.90,-,true
unit_cost,0.9,元/Wh,true
r_om,0.01,-,true
design_life,10,年,true
r_degrade,0.025,-,true
r_discount,0.06,-,true
r_user_b1,0.30,-,true
r_user_b2,0.50,-,true
r_user_b3,0.40,-,true
